repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
naoota12345678/jyoseikinrescue,maruyamadr,b1d4dd54bdd2e2f3bff10d109e0764596d1b3738,827,56,628,494,503,9,2.958,2.994,0.036,91.889
redandcold/LLM-language-learning-app,redandcold,6801035b04c86eefe6f1101edc0e3a7000833edf,1066,207,-5,367,424,57,2.062,2.029,-0.033,18.702
GUESTVALENCIA/SANDRA_IA_7.0,GUESTVALENCIA,b2b9af5283f27fc917ef91e7064f3b4e1e286f8a,566,0,426,1344,1411,67,2.077,2.09,0.013,8.448
GUESTVALENCIA/SANDRA_IA_7.0,GUESTVALENCIA,ed12704443449a118e35192f9f864c28ed253a97,1641,538,807,1258,1344,86,2.062,2.077,0.015,19.081
Nostalagic-ash777/MindCare_AI,Nostalagic-ash777,a4d31733489fb1035cfcc3ba91cda3296177e8ac,27,0,15,0,0,0,0.0,0.0,0.0,0.0
contactevin2u/orderops-fullstack,contactevin2u,8cde6d1778b7397703006604cad5619da04cf56d,10,7,3,2093,2093,0,2.4,2.4,0.0,0.0
johnmichaelkuczynski/CognitiveEnhancer,johnmichaelkucz,6b3d8c5401a50d9aa52ec1c9aa35e3b27c79e0c1,19,6,11,598,600,2,1.586,1.587,0.001,9.5
johnhughes3/llm-burst,jj3ny,769358a433fc009c911665eba560d9f5425036bb,4697,171,3418,1115,1931,816,3.805,3.442,-0.363,5.756
chasemarshall/scope,chasemarshall,6bddff34c3ee490a93f351349e170ef62f081a75,1,1,0,229,229,0,2.245,2.245,0.0,0.0
chasemarshall/scope,chasemarshall,1b6e02e23815957586d1cf071365b4931638a0d0,289,8,108,199,229,30,2.211,2.245,0.034,9.633
daoch4n/mcp-devtools,daoch4n,9b94569b1c0f8c059b745e1dd478600591666889,2,0,2,337,337,0,3.624,3.624,0.0,0.0
Amberh2616/STYLEMATE,Amberh2616,ebac1bbd1da06f169d52b0bffad8595a0a8aee8e,6501,1192,-119411,5538,5811,273,2.815,2.844,0.029,23.813
ChrisChoTW/ChrisChoTW.github.io,ChrisChoTW,95b3a9b2299ceae09c90a9e1729f1af77719b3d9,87,0,0,0,0,0,0.0,0.0,0.0,0.0
theopenco/llmgateway,steebchen,d302f2258f28cc790ae83745321dd679136ff534,500,95,345,2862,2873,11,1.89,1.884,-0.006,45.455
OpenTermsArchive/GenAI-snapshots,OTA-Bot,eae58bec727aa4a98deb0a47db4d329da0577ad2,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,8697a1966255c11e66959b22fcbc14f0d2e2bce1,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,92d6921d78ef692e7ded0929d34ed94453345c3d,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,26d41796ce6f8bae81a31c8b53d45bc8f3dcec41,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,1f79afd0437e4b13e80820983f3c1385c10a7e8e,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,299402b0e9a7784461830ae839d457c9b3670b70,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,34ce626dd1cd50fa76a309f3929e943030dfb817,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,7ef92c938fb39f3b471be88f682871d2d74866cf,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,131abcbf2c6438253691d2f938b7f634596fc16e,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,ea58c354c28e93b4fbba77b9a7f0bb8f71920306,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,9f257110fc4cc6b00280c317c9f8685f56cd4427,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,de39903b99a439482756bfeef49b857520b7ad47,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,3f62fee5d007cbf494815533da448f79f3db78f5,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,fcfdeb43f6fb8f0bc891ac7b6257f31a93d44e86,1,1,0,4251,4251,0,3.858,3.858,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,f11f29bea5afbe9d605ef8d2772fc51f5390c858,2,2,0,4251,4251,0,3.858,3.858,0.0,0.0
