repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
adamlui/chatgpt-auto-continue,kudo-sync-bot,dbc2748c18abd9b24a9920e625257008c4dffb24,18,70,-52,560,560,0,2.258,2.258,0.0,0.0
adamlui/chatgpt-infinity,kudo-sync-bot,e2c74cc25531c629690438eb49c71ec8dad0c6fc,18,70,-52,674,674,0,2.167,2.167,0.0,0.0
remilatoufik1-byte/dark-control-server,remilatoufik1-byte,756dda0713d41cab3855ad18e8cde81da2415f29,24,19,4,28,29,1,2.8,2.9,0.1,24.0
symfony/ai-platform,chr-hertel,aae8cb99c0584e698fa2d0e4a8eeebefd1d4bb5e,164,2,101,1770,1782,12,1.859,1.854,-0.005,13.667
symfony/ai,chr-hertel,e7bec238e4f695da16ce00843ad0d7d7100d27b7,198,2,119,3403,3415,12,1.837,1.835,-0.002,16.5
gabrielmoreiradevs/Resume-AI,gabrielmoreiradevs,38f95c4eeb018de47dec0bae195d747330acd143,77,0,59,38,43,5,1.31,1.265,-0.045,15.4
cathackr/SmartCompute,Cathackr,d95e300d9369cd35b0d8f3ec2f46f38dce1b5ec6,430,10,1078,3298,3324,26,3.221,3.233,0.012,16.538
bluegreenmirror/loan-calculator-trial,bluegreenmirror,2f8b9c1868f55d0d175df4f83a7848369fca95d5,57,13,10,50,50,0,1.389,1.389,0.0,0.0
FrancescoPuglia/APP-SPORT,Francesco Puglia,1b4cb3c607a248161a2736805ee0a7b2ae95b42b,2283,119,1822,328,583,255,2.025,2.038,0.013,8.953
victorsolmn/Streaks_Flutter,victorsolmn,cdc099506a804cb1c5453dc49b39879b05f7628b,2198,674,1214,1427,1429,2,3.726,3.731,0.005,1099.0
Zoran-IA-Mimetique/Zoran-IA-Suicide-Prevention-EthicChain,Zoran-IA-Mimetique,ce1b731372274849b833b4cf7ba5c496e3405e2e,24,0,17,0,0,0,0.0,0.0,0.0,0.0
better-together-org/community-engine-rails,rsmithlal,9fe4132ff23f317f959136fc7ceb1db4acf1e234,14,1,11,4622,4623,1,1.6,1.6,0.0,14.0
genai-rs/langfuse-ergonomic,timvw,2b87553afad110aac59781b125a8a83622abd05f,723,49,506,282,312,30,2.712,2.737,0.025,24.1
austeane/austin-site,Austin Wallace,5f001d45f62ee3a4b981fd5786f02b8d6e0110b4,130,39,53,137,137,0,8.059,8.059,0.0,0.0
pyregence/pyregence,drewverlee,7086d0efc3e751c6a419a449b570238a8391d1b8,668,54,595,13,14,1,1.0,1.0,0.0,668.0
Tamoghna12/obsidian-ai-assistant,Tamoghna12,1d27c5c790258f5fe79912c222b1d6296a536594,5614,139,4169,312,197,-115,1.696,1.698,0.002,48.817
kevinveenbirkenbach/infinito-nexus,kevinveenbirkenbach,db642c1c39f13d649fb09c71f75c254e2721ae36,20,23,-2,3504,3504,0,3.331,3.331,0.0,0.0
pireifej/prayoverus-mobile,pireifej,cded3c1d8e25f69354ff6da62a08842a72903e2a,38,69,-27,874,874,0,1.525,1.525,0.0,0.0
ipergamali/mysmartroute,ipergamali,1864c539bbbe79f87d4c9dce959160fe56e2f70e,12,12,0,0,0,0,0.0,0.0,0.0,0.0
austeane/austin-site,Austin Wallace,755bc4f9f4d41e9c83961d95995ce5952506c9e2,43,9,51,136,136,0,8.0,8.0,0.0,0.0
codemucker/govhack_2025,bertvanbrakel,3ba0b4144dbf8de7068394723c49135dba84871d,56,16,32,1177,1180,3,1.578,1.582,0.004,18.667
tlon-team/tlon.el,benthamite,5c3c8f6b8cc18ccfd467393991e1c17baa473789,80,32,44,0,0,0,0.0,0.0,0.0,0.0
JAGAN666/health-triage-app,JAGAN666,97ee85f2bb0a05b6282d461311cd1886fbeb986c,230,29,0,2915,2915,0,2.002,2.002,0.0,0.0
kevinveenbirkenbach/infinito-nexus,kevinveenbirkenbach,2fccebbd1fe59fe2a7e358abb608c3c5bb25fb87,27,0,22,3498,3504,6,3.328,3.331,0.003,4.5
kevinveenbirkenbach/infinito-nexus,kevinveenbirkenbach,c23fbd8ec4ff9c14a809e1b789edb31c0f6283fa,131,0,121,3498,3498,0,3.328,3.328,0.0,0.0
micahbrochin-debug/sales-ai-tool,micahbrochin-debug,e24a2773427e6181e3d5db2c27240e0d8cd2e0ae,86,21,62,89,138,49,1.816,2.936,1.12,1.755
kevinveenbirkenbach/infinito-nexus,kevinveenbirkenbach,2999d9af770dc99bb3933863c3e29001c8dab32a,49,30,9,3498,3498,0,3.328,3.328,0.0,0.0
okeidar/REAnalysis,okeidar,7a1b73e0eeb8a37ce4d49e237509bd647b01c839,878,32,700,1262,1313,51,2.47,2.482,0.012,17.216
henryekeocha/skycast-weather-app,henryekeocha108,a020ef2c0ccecec91aad1f61aa3b32e414c7d1da,384,0,144,704,734,30,1.561,1.555,-0.006,12.8
sociotechnica-org/work-squared,jessmartin,929022899ab8d7075fad843771396a4d14fb9578,2852,6421,-3173,4169,3586,-583,1.588,1.597,0.009,4.892
Franksami/lineartime,Franksami,0e12c4cd400794dac3cd1b70eb1757395d1d2f14,289713,33477,237108,5631,21993,16362,1.854,1.889,0.035,17.706
Dpotr/linkedin_scraper,Dmpotr,506b3981330cc855f66017a60770fbcc872c59ea,2880,101,2118,526,835,309,13.487,9.94,-3.547,9.32
kmayhew2020/kinda-lang,kmayhew2020,624faa26c09395e7a70b44e4ef8b58d259586f45,769,92,501,1314,1374,60,2.194,2.174,-0.02,12.817
kevinveenbirkenbach/infinito-nexus,kevinveenbirkenbach,ba99e558f73595c851454568c475c263ee2daed0,23,3,19,3498,3498,0,3.328,3.328,0.0,0.0
kevinveenbirkenbach/certbot-domain-bundler,kevinveenbirkenbach,8e168b1b17cdc30fd0a9ed8176e5a16c8523a707,324,137,132,40,72,32,2.857,3.13,0.273,10.125
alisha-allie/Sorted-TheNewApp,alishaallie,c5943a25290b728c8ec085e597e2f1e93ecb66cd,131,19,25,684,695,11,1.795,1.805,0.01,11.909
kmayhew2020/kinda-lang,kmayhew2020,f65a0597a8a76821c503e988b0ea962302de2c80,767,90,501,1314,1374,60,2.194,2.174,-0.02,12.783
