repo,sha,parent_sha,author
leon0999/englishear,ee6edd24a5d72bdc712a0f5d06cb60738348f11f,4a805947f6d793788769826a22d98a6514247685,Leon
karthikg/llm_chat_repl,9894bf0a4955c4c94655fb65f9a1ffd3e74bbf7f,505cd72a8714ee48eae41b4e661fe6dc9d9c5798,karthikg
bluegreenmirror/loan-calculator-trial,41ca8790d15f3f62d574bb80cd4cacf6da650ba9,fe6dc9c0229f9d952af7b62be0eb2b997f5f8803,bluegreenmirror
bluegreenmirror/loan-calculator-trial,8ca8850c2e57c35b477043fc2a1b4a21f73dda22,15438032b02dc728e318015e18b35a388261a2d4,bluegreenmirror
ipergamali/mysmartroute,58f6865f6a43a13ad3fa952ca40cd8b1ed9cbabb,da0e1ebfd0818e7e4ec113b4a02a577e7adaf4f8,ipergamali
voyd-lang/voyd,919d0641c85540dfa2f6084b52bd4e70b4b9b430,9d5b05745d1664b9b020e1eb65bd7b9945ef1149,drew-y
leon0999/englishear,4a805947f6d793788769826a22d98a6514247685,de70f35360ca708c95ef328be83c179d90e980ee,Leon
ipergamali/mysmartroute,aa7ca85cb478f0f380c8bd761c50fa090db5d8f1,153b95f0698f605fe11907813671468a6afd4dc4,ipergamali
leon0999/englishear,de70f35360ca708c95ef328be83c179d90e980ee,a6a10784ab87afe6fdd11892ddece0949d2409f6,Leon
afilihub-netizen/OnboardFlow,bc40b75cf7ce5f60d8b93e3a7aef69a855267685,4340e52763031dccd6d7f0afbbcd1959696284df,maickonagoncalv
tcashel/tensorzero_scratch,e979e5bfe17f9a042edf9ab309c90963a74b2752,1d3eb8a42b37a425996849218cddbc96e9a27cb7,tcashel
ipergamali/mysmartroute,153b95f0698f605fe11907813671468a6afd4dc4,ec80683a826d3077fb559c6cd6a1e867141b22be,ipergamali
francofang/speakerdiart,426c28c835abed5c7cc38d12511a585eaa0af9a4,,francofang
voyd-lang/voyd,9d5b05745d1664b9b020e1eb65bd7b9945ef1149,115ebf93080f2cf37bcddee62a8972dfd3167d20,drew-y
juniormag/SportsGPT,ac747766718563414017490ecc48b7b06f1d1953,a1f7ef6159a0c0db73902d6ac679aae0139e54f0,Junior Magalhães
ipergamali/mysmartroute,ec80683a826d3077fb559c6cd6a1e867141b22be,013a47c2c54adc2e32e7912a3a176fccca9763c8,ipergamali
Emaleo0522/web-game,27bc174d3bc73bb8fff80d9926fa4b90e79480c7,c7bfb504ae00a420c948633b2fc528ba7d157b85,Emaleo0522
ipergamali/mysmartroute,013a47c2c54adc2e32e7912a3a176fccca9763c8,abc1e1baab3aec1599f6f4fca2b6650405046e4c,ipergamali
startup-test-test/real-estate-app,47ab21d1e85dd4fd3be06c54685a54871d79bb32,490fe49af16f4cc07f7d79349d3b1d1efa3c44d6,startup-test-test
ipergamali/mysmartroute,abc1e1baab3aec1599f6f4fca2b6650405046e4c,c3c6cecf2fd9fd00d34f5f140e17f3571ff7404a,ipergamali
ipergamali/mysmartroute,c3c6cecf2fd9fd00d34f5f140e17f3571ff7404a,4cafe8c01e00458c6d382e97dd00d891d8043586,ipergamali
okeidar/REAnalysis,b5d09d7c8ce15d3aee102a06e10d5ffebbe8cd11,aea33d17983b66c47637c434ab61c9de98c3ffd3,okeidar
kevinveenbirkenbach/infinito-nexus,dd9a9b6d84db8e3324f73e772a4050220de111f0,23a2e081bf953352150577ba814d1d9ee7464014,kevinveenbirkenbach
zfogg/ascii-chat,87044a40cca6d442b66aeb783639dee5241a15fa,e115ffcee1aa9e23c8a606ee04d3ecc6264f76f0,zfogg
craftyguru/VitalWatch,68f0b19fc9014cd32e578160ce0ab832c8a6043f,0b1c37e92f1bd41c454b99846884804571b32b49,CraftyGuru
bluegreenmirror/loan-calculator-trial,80f84bca50e025aefde4ffb67ba3c4f5f9fc01c4,59bee467efab3e0caa596cb98be4308d621188ad,bluegreenmirror
cristianpenteado/llm-cli,59c4841d89d1f0b5a89352cbdf03a8476370302e,33c44b0cd0e88d3a5c5fc5efbe4315025069916b,cristianpenteado
xlsynth/xlsynth-crate,9bf21b52d75ee31313661c94393619a7af86eb64,ce3422045937310187bd7d29e137b981e3fc169d,cdleary
bstewart2255/speddy,abfc5e4ea144c9bdc9c27d6e2af584e20cad1ed3,a802e7c74db98a431b12b0d177cb7ddabe86ebb9,claude
OpenTermsArchive/GenAI-snapshots,f2d7e1c812dbf8500a64f227b4fb2a45e5bf24ce,f2198e29b35a3b03c88da5544fdf780dff36b947,OTA-Bot
OpenTermsArchive/GenAI-snapshots,f2198e29b35a3b03c88da5544fdf780dff36b947,dbe274f0cf4298344ebd36a418690b3e1053f485,OTA-Bot
OpenTermsArchive/GenAI-snapshots,dbe274f0cf4298344ebd36a418690b3e1053f485,fdfaa98c85f15271b37576da6479a85c0f62f64d,OTA-Bot
OpenTermsArchive/GenAI-snapshots,fdfaa98c85f15271b37576da6479a85c0f62f64d,a14b987c631ad2d663354628b23ba06c655e5062,OTA-Bot
OpenTermsArchive/GenAI-snapshots,fad8060e4c5e1a241a1a090515e33db85c1ae69f,ed9f2b63aceb69f023da10b36776556fb1fda265,OTA-Bot
OpenTermsArchive/GenAI-snapshots,a14b987c631ad2d663354628b23ba06c655e5062,fad8060e4c5e1a241a1a090515e33db85c1ae69f,OTA-Bot
OpenTermsArchive/GenAI-snapshots,ed9f2b63aceb69f023da10b36776556fb1fda265,061196c48b7059927094a864c625fb36b9a73fb5,OTA-Bot
OpenTermsArchive/GenAI-snapshots,061196c48b7059927094a864c625fb36b9a73fb5,5183fbdbfb815780383bd6d478483dc771b4a27a,OTA-Bot
OpenTermsArchive/GenAI-snapshots,5183fbdbfb815780383bd6d478483dc771b4a27a,af1c1cc24f28ac9286c2045c74451c04129bfaa4,OTA-Bot
OpenTermsArchive/GenAI-snapshots,af1c1cc24f28ac9286c2045c74451c04129bfaa4,ebe294d5af16cafeb97c4fbd51fa65edf82e495b,OTA-Bot
OpenTermsArchive/GenAI-snapshots,ebe294d5af16cafeb97c4fbd51fa65edf82e495b,a9cdefe9554b7d03f838b16277ae85602511f882,OTA-Bot
OpenTermsArchive/GenAI-snapshots,a9cdefe9554b7d03f838b16277ae85602511f882,224dc7a1668678974c9664268c77790c8405db41,OTA-Bot
OpenTermsArchive/GenAI-snapshots,224dc7a1668678974c9664268c77790c8405db41,7f38580054e08d3c0af4c511bd6db97285b61581,OTA-Bot
OpenTermsArchive/GenAI-snapshots,7f38580054e08d3c0af4c511bd6db97285b61581,9487a6703e28e2e4360c40e9c257c97914a29646,OTA-Bot
OpenTermsArchive/GenAI-snapshots,9487a6703e28e2e4360c40e9c257c97914a29646,f0422aea0bfc0f3cc54dac1865ab79a3afdc7d3e,OTA-Bot
Lamartine1987/meusEditais,8066a96107ec7513313c20835dfcda10facc8704,f967dfb07463170f79a7354252da5202d0ee96ab,Lamartine1987
ipergamali/mysmartroute,4cafe8c01e00458c6d382e97dd00d891d8043586,ce04a311d410b2aa93b4130d21450c07b4eb7351,ipergamali
ajitsd/lightning-session,c4d9e1b3d430863d78c794c8ae2f03051c33b433,15e4801447842712497816be2a357d770eeb4a94,ajitsd
jlinsights/FamilyOffice,30b7a005234ab447118f4e406eea176b3cc5c831,7fd6bc31164e5f837666cee90136763e32de8c25,홍길동
contestra/ai-ranker-v2,2c2f3608b79e913e899f2ddc34ec5811c49816b2,fe27db8d29d4f6265bebcd80036c5a96ecc68df2,contestra
wllmflower2460/pisrv_vapor_docker,08a972300286c37c8af79dd46d0b16940c70a0db,f193d141534b984c55543b64a85607a3d7cd9c09,wllmflower2460
luzbelasouza/estudos-ferramentas-ia,9fc2766dd86c6a1619f82eb90dedf81c9aa93b06,8128026a718282427f6c3c33e719e0c084f4a27a,luzbelasouza
wllmflower2460/pisrv_vapor_docker,f193d141534b984c55543b64a85607a3d7cd9c09,79ccf61940d900cc2adb5cd69ddf711ce678c762,wllmflower2460
xlsynth/xlsynth-crate,ce3422045937310187bd7d29e137b981e3fc169d,20b4446b45b4a812d6d4037b256634f2fd89cabb,cdleary
Buildstarted/linksfordevs,1434b5ba14e840345157694ef0ba2a6cdb0106c0,49c2165cebf16ff17e0b6f8e54bcf962e4417deb,Buildstarted
How1337ItIs/billsloth,1f28c27a982825516841d69dfb502631d9e9e76c,786449f05a0f225cbcb3c1476f6aa6c53a92815b,Claude Code Assistant
Ellprince/Asonti,633957face3d359a6eb2d9668656c8dc80298308,67039dc66bb3b2219bac70abe745477402ad58b3,jasonuri
hypersonic-daydreams/Ozymandias,abe8cf679419fc4a19db7e2174cff5f35a9e093c,c4b0a3c2cca38ff80ce8d86c4186b09b2fe06ba2,Nigel
Ellprince/Asonti,67039dc66bb3b2219bac70abe745477402ad58b3,c74235925d6f4f59eabf8cca82861b161f8eabb4,jasonuri
kevinveenbirkenbach/infinito-nexus,af1ee6424675d1c2e368a227c35144b24cd1e220,d96bfc64a6e8c6ef4332e124ddf212042770e946,kevinveenbirkenbach
